comparison	gene	n_positive_with	n_positive	n_reference_with	n_reference	pct_positive	pct_reference	crude_or	crude_p	cmh_or	cmh_p	n_strata	crude_q	cmh_q
OXA	dfrA15	1	38	76	458	2.6	16.6	0.14	0.01836283090078756	0.1	2.2147941170516468e-05	8	0.029380529441260093	0.00010124773106521814
OXA	dfrA27	0	38	12	458	0.0	2.6	0.0	0.6123948028033405	0.0	0.532461594205286	8	0.6660234373305756	0.6310655931321909
OXA	mphA	19	38	39	458	50.0	8.5	10.74	7.394754136800711e-10	8.89	0.0017328648131244022	8	2.3663213237762274e-09	0.005041061274543715
OXA	qnrB1	3	38	86	458	7.9	18.8	0.37	0.12196965650627273	0.72	0.9520690816704648	8	0.1626262086750303	0.9520690816704648
OXA	qnrB2	0	38	16	458	0.0	3.5	0.0	0.6243969724974145	0.0	0.34102903145806396	8	0.6660234373305756	0.46821463569887073
OXA	qnrS1	35	38	76	458	92.1	16.6	58.64	7.252805483917411e-22	8.21	0.008688878078454301	8	5.802244387133929e-21	0.017377756156908602
OXA	rmtB	28	38	0	458	73.7	0.0	inf	1.0532636194036928e-37	inf	7.739307472435144e-08	8	1.6852217910459085e-36	1.238289195589623e-06
OXA	strA	33	38	229	458	86.8	50.0	6.6	5.977386313864784e-06	0.85	0.9047064083129133	8	1.4713566311051775e-05	0.9520690816704648
OXA	strB	35	38	220	458	92.1	48.0	12.62	3.366996759929294e-08	3.4	0.35116097677415303	8	8.978658026478117e-08	0.46821463569887073
OXA	sul1	3	38	131	458	7.9	28.6	0.21	0.003980244981614654	0.23	0.00032204746970357817	8	0.0070759910784260515	0.0011450576700571668
OXA	sul2	32	38	255	458	84.2	55.7	4.25	0.0004994335928137571	1.25	0.9372311148415755	8	0.0009988671856275143	0.9520690816704648
OXA	tet(A)	31	38	120	458	81.6	26.2	12.47	1.5399902162501678e-11	3.22	0.006976438360554633	8	6.159960865000671e-11	0.01488306850251655
OXA	tet(D)	2	38	115	458	5.3	25.1	0.17	0.004460333086860678	0.18	0.00019664468204499882	8	0.0075121399357653525	0.0007865787281799953
OXA	tet(G)	28	38	0	458	73.7	0.0	inf	1.0532636194036928e-37	inf	7.739307472435144e-08	8	1.6852217910459085e-36	1.238289195589623e-06
